거래일자,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2020-01-01,748.185,712.391,679.068,665.567,663.044,675.562,685.71,686.043,698.51,681.516,641.421,616.249,605.606,601.902,604.457,617.529,655.684,737.998,781.527,787.732,770.692,744.975,726.314,715.492
2020-01-02,668.403,643.087,630.489,618.152,604.327,618.437,656.19,706.194,751.425,746.092,742.546,744.018,722.032,730.255,722.722,719.034,736.869,776.202,808.57,804.961,784.238,758.725,743.769,740.567
2020-01-03,689.778,650.029,616.688,594.246,597.032,627.758,663.907,709.518,740.576,735.943,719.885,690.999,654.816,669.278,666.009,667.123,693.949,762.515,793.719,788.716,762.169,749.423,734.454,720.507
2020-01-04,719.805,687.483,663.068,649.657,654.173,668.594,691.831,709.636,703.298,647.272,627.532,606.367,575.215,573.072,582.631,597.711,642.27,736.877,805.018,807.924,794.649,771.738,756.065,752.084
2020-01-05,703.664,670.086,648.774,642.516,647.694,663.222,684.845,698.703,673.415,601.439,582.078,567.696,559.997,573.062,588.951,601.305,637.311,708.053,753.282,752.556,739.395,719.462,703.86,691.687
2020-01-06,641.674,603.536,576.767,564.756,566.392,584.548,616.215,655.023,717.267,738.123,720.169,708.304,687.639,715.057,727.436,740.045,750.497,757.71,758.083,738.351,711.399,680.05,655.394,643.597
2020-01-07,609.629,574.665,551.456,540.193,543.271,558.274,588.298,623.341,675.826,703.737,690.194,669.945,645.606,651.444,645.016,659.457,679.63,708.249,732.019,731.256,723.786,701.005,697.542,695.917
2020-01-08,656.963,631.899,612.201,609.488,621.337,644.102,674.376,711.35,775.821,784.534,741.919,730.839,711.531,736.108,742.785,748.524,780.863,843.091,869.797,855.012,832.631,801.562,783.451,763.644
2020-01-09,720.381,686.949,660.992,647.794,642.713,656.783,685.105,727.699,786.164,813.697,774.452,748.748,728.087,736.818,744.532,761.13,789.326,833.281,845.398,833.539,816.223,789.302,774.759,763.473
2020-01-10,743.74,709.269,682.948,674.959,677.828,694.938,725.447,764.946,787.223,718.678,680.749,649.911,627.209,634.197,640.487,653.755,711.665,781.135,819.947,810.395,793.423,771.925,761.274,750.101
2020-01-11,702.007,663.323,633.535,620.095,628.127,647.016,669.738,694.439,731.721,733.219,700.806,708.813,725.915,719.285,698.075,713.271,744.461,791.105,813.638,805.181,791.038,771.513,757.367,755.48
2020-01-12,716.203,679.503,654.867,644.267,651.177,665.489,681.266,696.891,712.092,679.47,658.089,650.265,639.724,650.833,637.936,644.217,690.704,777.92,834.584,834.857,827.791,806.992,792.519,787.475
