거래일자,거래시간,연료원,전력거래량(MWh)
2025-01-01,1,LNG,218.038772
2025-01-01,1,기타,98.633855
2025-01-01,1,신재생(기타),163.871381
2025-01-01,1,신재생(태양광),0.000288
2025-01-01,1,신재생(풍력),19.39133
2025-01-01,2,LNG,206.772314
2025-01-01,2,기타,120.922029
2025-01-01,2,신재생(기타),163.931237
2025-01-01,2,신재생(태양광),0.000296
2025-01-01,2,신재생(풍력),19.968293
2025-01-01,3,LNG,147.439348
2025-01-01,3,기타,104.537666
2025-01-01,3,신재생(기타),163.858206
2025-01-01,3,신재생(태양광),0.000484
2025-01-01,3,신재생(풍력),18.746542
2025-01-01,4,LNG,148.24691
2025-01-01,4,기타,96.42525
2025-01-01,4,신재생(기타),163.690935
2025-01-01,4,신재생(태양광),0.000304
2025-01-01,4,신재생(풍력),16.054895
2025-01-01,5,LNG,148.162504
2025-01-01,5,기타,89.271095
2025-01-01,5,신재생(기타),163.778504
2025-01-01,5,신재생(태양광),0.000352
2025-01-01,5,신재생(풍력),15.417698
2025-01-01,6,LNG,156.517214
2025-01-01,6,기타,82.371172
2025-01-01,6,신재생(기타),163.796406
2025-01-01,6,신재생(태양광),0.00082
2025-01-01,6,신재생(풍력),8.718399
2025-01-01,7,LNG,189.359548
2025-01-01,7,기타,74.219405
2025-01-01,7,신재생(기타),165.748525
2025-01-01,7,신재생(태양광),0.000368
2025-01-01,7,신재생(풍력),10.261018
2025-01-01,8,LNG,194.869276
2025-01-01,8,기타,62.952525
2025-01-01,8,신재생(기타),185.533998
2025-01-01,8,신재생(태양광),0.934085
2025-01-01,8,신재생(풍력),9.7848
2025-01-01,9,LNG,193.207798
2025-01-01,9,기타,66.551973
2025-01-01,9,신재생(기타),164.004238
2025-01-01,9,신재생(태양광),30.604851
2025-01-01,9,신재생(풍력),7.487359
2025-01-01,10,LNG,138.76912
2025-01-01,10,기타,61.96615
2025-01-01,10,신재생(기타),163.716952
2025-01-01,10,신재생(태양광),117.723004
2025-01-01,10,신재생(풍력),2.30742
2025-01-01,11,LNG,77.87892
2025-01-01,11,기타,70.013412
2025-01-01,11,신재생(기타),135.742589
2025-01-01,11,신재생(태양광),194.708125
2025-01-01,11,신재생(풍력),1.083274
2025-01-01,12,LNG,77.91525
2025-01-01,12,기타,69.659797
2025-01-01,12,신재생(기타),109.065825
2025-01-01,12,신재생(태양광),204.116862
2025-01-01,12,신재생(풍력),1.203698
2025-01-01,13,LNG,77.91504
2025-01-01,13,기타,63.803194
2025-01-01,13,신재생(기타),109.043982
2025-01-01,13,신재생(태양광),188.543047
2025-01-01,13,신재생(풍력),4.484078
2025-01-01,14,LNG,77.88165
2025-01-01,14,기타,72.988237
2025-01-01,14,신재생(기타),109.000155
2025-01-01,14,신재생(태양광),162.646221
2025-01-01,14,신재생(풍력),7.706611
2025-01-01,15,LNG,77.88669
2025-01-01,15,기타,69.601174
2025-01-01,15,신재생(기타),144.39616
2025-01-01,15,신재생(태양광),129.588319
2025-01-01,15,신재생(풍력),8.327349
2025-01-01,16,LNG,77.93688
2025-01-01,16,기타,59.131955
2025-01-01,16,신재생(기타),163.244541
2025-01-01,16,신재생(태양광),94.07402
2025-01-01,16,신재생(풍력),4.657855
2025-01-01,17,LNG,144.478768
2025-01-01,17,기타,53.866172
2025-01-01,17,신재생(기타),173.687717
2025-01-01,17,신재생(태양광),43.433083
2025-01-01,17,신재생(풍력),5.536216
2025-01-01,18,LNG,210.277998
2025-01-01,18,기타,47.023912
2025-01-01,18,신재생(기타),169.820833
2025-01-01,18,신재생(태양광),5.031894
2025-01-01,18,신재생(풍력),5.075001
2025-01-01,19,LNG,244.578166
2025-01-01,19,기타,46.197476
2025-01-01,19,신재생(기타),163.343128
2025-01-01,19,신재생(태양광),2.051507
2025-01-01,19,신재생(풍력),2.195009
2025-01-01,20,LNG,237.00873
2025-01-01,20,기타,57.970577
2025-01-01,20,신재생(기타),163.624706
2025-01-01,20,신재생(태양광),3.313176
2025-01-01,20,신재생(풍력),0.865668
2025-01-01,21,LNG,234.860668
2025-01-01,21,기타,49.126058
2025-01-01,21,신재생(기타),163.648578
2025-01-01,21,신재생(태양광),2.927632
2025-01-01,21,신재생(풍력),0.460223
2025-01-01,22,LNG,220.439772
2025-01-01,22,기타,44.185857
2025-01-01,22,신재생(기타),163.747372
2025-01-01,22,신재생(태양광),2.17958
2025-01-01,22,신재생(풍력),0.463863
2025-01-01,23,LNG,218.808198
2025-01-01,23,기타,36.870614
2025-01-01,23,신재생(기타),163.84785
2025-01-01,23,신재생(태양광),0.51858
2025-01-01,23,신재생(풍력),3.242352
2025-01-01,24,LNG,218.258292
2025-01-01,24,기타,35.869186
2025-01-01,24,신재생(기타),163.859154
2025-01-01,24,신재생(태양광),0.016568
2025-01-01,24,신재생(풍력),2.720487
2025-01-02,1,LNG,165.998854
2025-01-02,1,기타,30.429224
2025-01-02,1,신재생(기타),163.793208
2025-01-02,1,신재생(태양광),0.000352
2025-01-02,1,신재생(풍력),0.710176
2025-01-02,2,LNG,148.223278
2025-01-02,2,기타,31.240158
2025-01-02,2,신재생(기타),163.811375
2025-01-02,2,신재생(태양광),0.000408
2025-01-02,2,신재생(풍력),1.116744
2025-01-02,3,LNG,148.172892
2025-01-02,3,기타,39.299127
2025-01-02,3,신재생(기타),163.813289
2025-01-02,3,신재생(태양광),0.000424
2025-01-02,3,신재생(풍력),1.578745
2025-01-02,4,LNG,148.27001
2025-01-02,4,기타,47.896204
2025-01-02,4,신재생(기타),163.682078
2025-01-02,4,신재생(태양광),0.00054
2025-01-02,4,신재생(풍력),2.232448
2025-01-02,5,LNG,148.198204
2025-01-02,5,기타,52.811947
2025-01-02,5,신재생(기타),163.862665
2025-01-02,5,신재생(태양광),0.000352
2025-01-02,5,신재생(풍력),5.30338
2025-01-02,6,LNG,148.145956
2025-01-02,6,기타,55.651758
2025-01-02,6,신재생(기타),162.943939
2025-01-02,6,신재생(태양광),0.00052
2025-01-02,6,신재생(풍력),8.187496
2025-01-02,7,LNG,148.245104
2025-01-02,7,기타,43.835272
2025-01-02,7,신재생(기타),162.742667
2025-01-02,7,신재생(태양광),0.000312
2025-01-02,7,신재생(풍력),9.876728
2025-01-02,8,LNG,171.89459
2025-01-02,8,기타,40.376289
2025-01-02,8,신재생(기타),165.506681
2025-01-02,8,신재생(태양광),0.815376
2025-01-02,8,신재생(풍력),11.559104
2025-01-02,9,LNG,194.40057
2025-01-02,9,기타,36.489472
2025-01-02,9,신재생(기타),189.65937
2025-01-02,9,신재생(태양광),25.167157
2025-01-02,9,신재생(풍력),6.211156
2025-01-02,10,LNG,187.49325
2025-01-02,10,기타,47.116467
2025-01-02,10,신재생(기타),164.838292
2025-01-02,10,신재생(태양광),78.136999
2025-01-02,10,신재생(풍력),8.930272
2025-01-02,11,LNG,166.400962
2025-01-02,11,기타,70.771014
2025-01-02,11,신재생(기타),162.634238
2025-01-02,11,신재생(태양광),149.352406
2025-01-02,11,신재생(풍력),7.314204
2025-01-02,12,LNG,99.03138
2025-01-02,12,기타,89.544319
2025-01-02,12,신재생(기타),162.317905
2025-01-02,12,신재생(태양광),189.456052
2025-01-02,12,신재생(풍력),5.902256
2025-01-02,13,LNG,77.9037
2025-01-02,13,기타,91.636297
2025-01-02,13,신재생(기타),148.37139
2025-01-02,13,신재생(태양광),207.208148
2025-01-02,13,신재생(풍력),3.626552
2025-01-02,14,LNG,77.92008
2025-01-02,14,기타,95.778049
2025-01-02,14,신재생(기타),114.760989
2025-01-02,14,신재생(태양광),211.699224
2025-01-02,14,신재생(풍력),3.668324
2025-01-02,15,LNG,82.79887
2025-01-02,15,기타,85.924152
2025-01-02,15,신재생(기타),155.664735
2025-01-02,15,신재생(태양광),158.900796
2025-01-02,15,신재생(풍력),10.983228
2025-01-02,16,LNG,123.366698
2025-01-02,16,기타,92.404788
2025-01-02,16,신재생(기타),163.661349
2025-01-02,16,신재생(태양광),96.239526
2025-01-02,16,신재생(풍력),14.959348
2025-01-02,17,LNG,187.982662
2025-01-02,17,기타,77.523278
2025-01-02,17,신재생(기타),163.786741
2025-01-02,17,신재생(태양광),37.643917
2025-01-02,17,신재생(풍력),18.800537
2025-01-02,18,LNG,237.696802
2025-01-02,18,기타,68.067925
2025-01-02,18,신재생(기타),164.401989
2025-01-02,18,신재생(태양광),5.321532
2025-01-02,18,신재생(풍력),29.993679
2025-01-02,19,LNG,253.408778
2025-01-02,19,기타,90.841007
2025-01-02,19,신재생(기타),163.717762
2025-01-02,19,신재생(태양광),2.090139
2025-01-02,19,신재생(풍력),37.66454
2025-01-02,20,LNG,281.086204
2025-01-02,20,기타,119.360931
2025-01-02,20,신재생(기타),163.698554
2025-01-02,20,신재생(태양광),3.223148
2025-01-02,20,신재생(풍력),44.799157
2025-01-02,21,LNG,277.998798
2025-01-02,21,기타,112.537748
2025-01-02,21,신재생(기타),163.753736
2025-01-02,21,신재생(태양광),2.440904
2025-01-02,21,신재생(풍력),44.102255
2025-01-02,22,LNG,240.70879
2025-01-02,22,기타,117.486316
2025-01-02,22,신재생(기타),163.828974
2025-01-02,22,신재생(태양광),1.052344
2025-01-02,22,신재생(풍력),47.351607
2025-01-02,23,LNG,195.385568
2025-01-02,23,기타,110.833418
2025-01-02,23,신재생(기타),162.917862
2025-01-02,23,신재생(태양광),0.10944
2025-01-02,23,신재생(풍력),45.564777
2025-01-02,24,LNG,149.70851
2025-01-02,24,기타,101.730891
2025-01-02,24,신재생(기타),162.006004
2025-01-02,24,신재생(태양광),0.000288
2025-01-02,24,신재생(풍력),33.956789
2025-01-03,1,LNG,149.452758
2025-01-03,1,기타,91.372045
2025-01-03,1,신재생(기타),163.427137
2025-01-03,1,신재생(태양광),0.000208
2025-01-03,1,신재생(풍력),30.77962
2025-01-03,2,LNG,149.417212
2025-01-03,2,기타,100.71033
2025-01-03,2,신재생(기타),163.699731
2025-01-03,2,신재생(태양광),0.00024
2025-01-03,2,신재생(풍력),43.791263
2025-01-03,3,LNG,149.430652
2025-01-03,3,기타,99.454424
2025-01-03,3,신재생(기타),163.688324
2025-01-03,3,신재생(태양광),0.000232
2025-01-03,3,신재생(풍력),49.880945
2025-01-03,4,LNG,149.427544
2025-01-03,4,기타,113.379889
2025-01-03,4,신재생(기타),163.71402
2025-01-03,4,신재생(태양광),0.000232
2025-01-03,4,신재생(풍력),61.177259
2025-01-03,5,LNG,149.425052
2025-01-03,5,기타,135.275379
2025-01-03,5,신재생(기타),163.855333
2025-01-03,5,신재생(태양광),0.000256
2025-01-03,5,신재생(풍력),66.080871
2025-01-03,6,LNG,149.460262
2025-01-03,6,기타,158.469202
2025-01-03,6,신재생(기타),163.950974
2025-01-03,6,신재생(태양광),0.000248
2025-01-03,6,신재생(풍력),55.382148
2025-01-03,7,LNG,149.363522
2025-01-03,7,기타,150.170871
2025-01-03,7,신재생(기타),163.883329
2025-01-03,7,신재생(태양광),0.00024
2025-01-03,7,신재생(풍력),68.309498
2025-01-03,8,LNG,176.399132
2025-01-03,8,기타,126.681429
2025-01-03,8,신재생(기타),163.999745
2025-01-03,8,신재생(태양광),0.281432
2025-01-03,8,신재생(풍력),79.002773
2025-01-03,9,LNG,223.637498
2025-01-03,9,기타,163.490483
2025-01-03,9,신재생(기타),163.719059
2025-01-03,9,신재생(태양광),24.709749
2025-01-03,9,신재생(풍력),79.019792
2025-01-03,10,LNG,163.470986
2025-01-03,10,기타,179.511451
2025-01-03,10,신재생(기타),163.940873
2025-01-03,10,신재생(태양광),89.834939
2025-01-03,10,신재생(풍력),65.702821
2025-01-03,11,LNG,95.698288
2025-01-03,11,기타,167.99286
2025-01-03,11,신재생(기타),163.981725
2025-01-03,11,신재생(태양광),172.564452
2025-01-03,11,신재생(풍력),48.772185
2025-01-03,12,LNG,71.541568
